title,year,certificate,duration,genre,rating,description,stars,votes,type
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.7,"Dal Geon and the agents try to keep Kim Woo Gi alive, and request NIS backup. Jessica moves to pin the plane crash on someone else.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",131,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.7,"Sang Mi leaves behind a warning about a shady figure named Samael, putting everything Dal Geon thought he knew about the crash into question","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",128,Movie
Hotel Del Luna,2019,Unknown,79 min,"Action, Comedy, Drama",8.7,"With a lunar eclipse approaching, Man Wol fulfills a flood of special requests, including one from a former hotel manager.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",111,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.7,Add a Plot,"['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",11,Movie
Untitled Kanye West Documentary,2022,Not Rated,93 min,"Documentary, Music",8.6,"Kanye hustles to establish his voice at the label. When a car crash and broken jaw threaten it all, the unstoppable artist turns pain into platinum.","['Coodie, ', 'Chike Ozah', '| ', '    Stars:', 'Ye, ', 'Kevin Bacon, ', 'Yasiin Bey, ', 'Big V']",1041,Movie
Lastman,2016,Unknown,Unknown,"Animation, Action, Adventure",8.6,"In the corrupted city of Paxtown, boxer Richard Aldana becomes the protector of Siri, a young orphaned wanted by mysterious and monstrous superhumans.","['Tyler Bunch, ', 'Coryn Williams, ', 'Martial Le Minoux, ', 'Maëlys Ricordeau']",985,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.6,"Dal Geon gets a call from someone out of the blue and is approached by a journalist, who claims to be pursuing a story about the plane crash.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",158,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.6,Dal Geon attempts to alert the press about what he knows but someone interferes. Hae Ri contacts Ki Tae Woong to get answers about the flash drive.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",145,Movie
In Our Mothers' Gardens,2021,Unknown,Unknown,Documentary,8.6,"In Our Mothers' Gardens celebrates the strength and resiliency of Black women and Black families through the complex, and often times humorous, relationship between mothers and daughters.","['Shantrelle P. Lewis', '| ', '    Stars:', 'Tarana Burke, ', 'Tina Farris, ', 'Shantrelle P. Lewis, ', 'Yolanda Sangeweni']",141,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.6,Dal Geon and Hae Ri make contact with Jae Shik. Jessica and Yoon Han Gi see a big win at the National Assembly. Tae Woong undergoes scrutiny.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",135,Movie
Hotel Del Luna,2019,Unknown,94 min,"Action, Comedy, Drama",8.6,"One by one, the hotel's staff leave. After realizing they met in a past life, Man Wol and Chan Seong make peace with saying goodbye.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",127,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.6,Dal Geon's explosive on-air accusation toward the president sparks a media storm. Jessica's press conference goes south quick.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",122,Movie
Ella Brennan: Commanding the Table,2016,Unknown,96 min,Documentary,8.6,"Today, the world knows restaurateur Ella Brennan as the matriarch of a Creole-flavored dining dynasty dating back over half a century. She has become a household name in the restaurant ...                See full summary »","['Leslie Iwerks', '| ', '    Stars:', 'Meg Bickford, ', 'Marcelle Bienvenu, ', 'Daniel Boulud, ', 'Gene Bourg']",66,Movie
U-Prince: The Playful Comm-Arts,2016,Unknown,Unknown,Romance,8.6,"Sung dreams of making Kiran, from the comm-arts department, her boyfriend. Until one day, Sung was hit by a tricycle and made a promise with the god of death. The god of death sent her back...                See full summary »","['Korawit Boonsri, ', 'Nawat Phumphothingam, ', 'Sananthachat Thanapatpisal']",24,Movie
La Grande Chaumière Violette,2016,Unknown,Unknown,"Drama, History",8.6,"San Francisco, 1980. As 72-year-old Guo Xue Hu reminisces about his hometown, Dadaocheng, a young man walks towards him from afar. It is Xing Xiong, Yi An's son. He has brought a letter ...                See full summary »","['Eli Shih, ', 'Chia-Yen Ko, ', 'Chiung-Hsuan Hsieh, ', 'Bryant Lee']",16,Movie
