genre,rank,title,rating,votes,year
History,3,La Grande Chaumière Violette,8.6,16,2016
History,4,Nazi Concentration Camps,8.3,1481,1945
History,5,Empresses in the Palace,8.3,357,2015
History,6,Zeitgeist: Addendum,8.2,18368,2008
History,7,My Country: The New Age,8.2,1961,2019
History,8,Tree with Deep Roots,8.2,513,2011
History,9,Pit Sawat,8.2,35,2016
History,10,Zeitgeist,8.1,49587,2007
Horror,1,Rosemary's Baby,8.0,215114,1968
Horror,2,American Psycho,7.6,598117,2000
Horror,3,The Incredible Shrinking Man,7.6,18215,1957
Horror,4,Stree,7.5,33919,2018
Horror,5,Nini Thowok,7.5,57,2018
Horror,6,It,7.3,537240,2017
Horror,7,Croaker,7.3,74,2013
Horror,8,Pee Mak,7.2,5828,2013
Horror,9,Crazyhead,7.2,5075,2016
Horror,10,Don't Breathe,7.1,272361,2016
Music,1,Hans Zimmer Live in Prague,9.1,2710,2017
Music,2,A Love to Last,8.8,38,2017
Music,3,Untitled Kanye West Documentary,8.6,1041,2022
Music,4,My Name Is Barbra,8.3,364,1965
Music,5,Hikaru Utada: Laughter in the Dark Tour 2018,8.3,93,2019
Music,6,Alive Inside: A Story of Music and Memory,8.2,3146,2014
Music,7,Tim Minchin So F**king Rock,8.1,297,2008
Music,8,Color Me Barbra,8.0,306,1966
Music,9,Arashi's Diary: Voyage,8.0,45,2019
Music,10,Artifact,7.9,4637,2012
Musical,1,Julie's Greenroom,8.2,331,2017
Musical,2,Willy Wonka & the Chocolate Factory,7.8,200703,1971
Musical,3,Monty Python Live (Mostly),7.6,2634,2014
Musical,4,"tick, tick... BOOM!",7.5,103537,2021
Musical,5,Yeh Ballet,7.5,1356,2020
Musical,6,The Ballad of Buster Scruggs,7.3,146391,2018
Musical,7,Grease,7.2,275313,1978
Musical,8,Behind the Curtain: Todrick Hall,6.8,312,2017
Musical,9,Hairspray,6.7,130694,2007
Musical,10,Dreamgirls,6.6,74022,2006
Mystery,1,Vagabond,9.3,187,2019
Mystery,2,Flower of Evil,8.7,7700,2020
Mystery,3,Tales of the City,8.3,4085,1993
Mystery,4,Article 15,8.2,33653,2019
Mystery,5,Defendant,8.2,1553,2017
Mystery,6,The Deadly Affair,8.2,17,2022
Mystery,7,Gone Girl,8.1,971322,2014
Mystery,8,Kahaani,8.1,62937,2012
Mystery,9,Doctor John,8.1,1471,2019
Mystery,10,Glass Onion: A Knives Out Mystery,8.1,548,2022
News,1,Alive Inside: A Story of Music and Memory,8.2,3146,2014
News,2,Requiem for the American Dream,8.1,9838,2015
News,3,Honor Diaries,7.8,239,2013
News,4,SunGanges,7.8,86,2019
News,5,Neurons to Nirvana,7.6,1263,2013
News,6,An Inconvenient Truth,7.4,83432,2006
News,7,Sustainable,7.3,573,2016
News,8,71st Golden Globe Awards,7.2,912,2014
News,9,Capital C,6.7,274,2014
News,10,Hank: 5 Years from the Brink,6.6,499,2013
Reality-TV,1,The Mosque Next Door,7.7,44,2017
Reality-TV,2,Derren Brown: Infamous,7.5,263,2014
Reality-TV,3,The Apprentice: ONE Championship Edition,7.5,133,2021
Reality-TV,4,First Team: Juventus,7.2,2107,2018
Reality-TV,5,Sergio over de grens,7.2,6,2022
Reality-TV,6,Dancing Queen,7.0,1630,2018
Reality-TV,7,Cabins in the Wild with Dick Strawbridge,6.7,279,2017
Reality-TV,8,Styling Hollywood,6.6,369,2019
Reality-TV,9,Fate: The Winx Saga - The Afterparty,6.2,83,2021
Reality-TV,10,Model,5.9,26,2020
Romance,1,Flower of Evil,8.7,7700,2020
Romance,2,U-Prince: The Playful Comm-Arts,8.6,24,2016
Romance,3,Once Again,8.4,338,2020
Romance,4,Tales of the City,8.3,4085,1993
Romance,5,Ashes of Love,8.3,2076,2018
Romance,6,Chicago Typewriter,8.3,1796,2017
Romance,7,Empresses in the Palace,8.3,357,2015
Romance,8,The 1st Shop of Coffee Prince,8.2,5541,2007
Romance,9,Go Back Couple,8.2,1132,2017
Romance,10,Secret Unrequited Love,8.2,21,2019
Sci-Fi,1,Sense8: Creating the World,8.5,2690,2015
Sci-Fi,2,2001: A Space Odyssey,8.3,662697,1968
Sci-Fi,3,Voltron 84,8.3,60,2017
Sci-Fi,4,Jurassic Park,8.2,978402,1993
Sci-Fi,5,Reset,8.1,619,2022
Sci-Fi,6,Planet of the Apes,8.0,179986,1968
Sci-Fi,7,Nausicaä of the Valley of the Wind,8.0,168797,1984
Sci-Fi,8,Arrival,7.9,684855,2016
Sci-Fi,9,Captain America: Civil War,7.8,776556,2016
Sci-Fi,10,A Tiger in the Dark: The Decadence Saga,7.7,50,2014
Short,1,#HappyBirthdaySense8,9.0,844,2017
Short,2,The Sense8 Experience,8.9,800,2017
Short,3,Sense8: Creating the World,8.5,2690,2015
Short,4,Moving Art: Underwater,8.5,129,2015
Short,5,Moving Art: Deserts,8.4,158,2014
Short,6,Escape from the Spirit World,8.3,282,2007
Short,7,Moving Art: Flowers,8.3,211,2014
Short,8,Moving Art: Forests,8.3,203,2014
