type,year,count,avg_rating,avg_votes,total_votes
TV Show,2017,360,6.7925,15004.53611111111,5401633
Movie,2018,289,6.274394463667818,14338.868512110726,4143933
TV Show,2018,507,6.768639053254441,8585.39842209073,4352797
Movie,2019,331,6.4525679758308145,15197.504531722054,5030374
TV Show,2019,462,6.803246753246753,8866.028138528138,4096105
Movie,2020,270,6.272592592592593,12092.403703703703,3264949
TV Show,2020,548,6.601094890510947,5860.487226277372,3211547
Movie,2021,209,6.273684210526315,17199.995215311006,3594799
TV Show,2021,544,6.478308823529414,6350.685661764706,3454773
Movie,2022,113,6.149557522123893,11102.823008849558,1254619
TV Show,2022,420,6.35071428571428,4093.9714285714285,1719468
