type,count,avg_rating,stddev_rating,avg_votes,total_votes,min_rating,max_rating
Movie,3192,6.291823308270676,1.2081381554599286,28926.82581453634,92334428,1.7,9.4
TV Show,3764,6.7776833156216965,1.1852496536872852,14840.560839532413,55859871,2.1,9.9
